epoch,step,train_err,train_loss,val_err
0,49,3.9954535961151123,84.74090576171875,
0,79,,,3.5289909839630127
1,99,3.431854248046875,74.62606811523438,
1,149,3.9110889434814453,91.50472259521484,
1,159,,,3.4935178756713867
2,199,3.4815468788146973,87.4107894897461,
2,239,,,3.5022897720336914
3,249,3.4767491817474365,74.35258483886719,
3,299,3.528977632522583,93.54056549072266,
3,319,,,3.300600051879883
4,349,3.143319606781006,76.3917007446289,
4,399,3.465127944946289,86.5210952758789,
4,399,,,3.303886651992798
5,449,3.7512574195861816,90.6576156616211,
5,479,,,3.7137506008148193
6,499,3.3318238258361816,78.71607971191406,
6,549,3.342742919921875,92.006591796875,
6,559,,,3.198467254638672
7,599,3.4412293434143066,81.75040435791016,
7,639,,,3.3236680030822754
8,649,3.444326400756836,76.38481903076172,
8,699,3.513356924057007,78.80901336669922,
8,719,,,3.222639799118042
9,749,3.4669854640960693,84.17750549316406,
9,799,3.3629302978515625,74.85478973388672,
9,799,,,3.4194390773773193
10,849,3.1817078590393066,67.24947357177734,
10,879,,,3.2312989234924316
11,899,3.4912171363830566,101.42854309082031,
11,949,3.283190965652466,67.3569564819336,
11,959,,,3.2412123680114746
12,999,3.213704824447632,83.4551773071289,
12,1039,,,3.3086421489715576
13,1049,3.1087677478790283,67.63814544677734,
13,1099,3.3563904762268066,75.44596862792969,
13,1119,,,3.2851834297180176
14,1149,2.799041509628296,62.3430061340332,
14,1199,3.3647611141204834,86.32747650146484,
14,1199,,,3.296491861343384
15,1249,3.43705677986145,78.9842529296875,
15,1279,,,3.1796183586120605
16,1299,2.800394058227539,60.80086898803711,
16,1349,3.023874044418335,69.98352813720703,
16,1359,,,3.170607566833496
17,1399,3.6142947673797607,84.18392181396484,
17,1439,,,3.3883860111236572
18,1449,3.604149580001831,90.49445343017578,
18,1499,3.2381668090820312,70.95378875732422,
18,1519,,,3.364379644393921
19,1549,2.927448034286499,68.87352752685547,
19,1599,3.019252061843872,53.792964935302734,
19,1599,,,3.2283456325531006
20,1600,,,3.2283456325531006
